timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653928881990,6934,createUser/index.php-4,200,OK,Thread Group - CSV 1-2,text,true,,3637,720,9,9,http://automationpractice.com/index.php,6517,0,184
1653928882346,6878,createUser/index.php-4,200,OK,Thread Group - CSV 1-9,text,true,,3629,720,9,9,http://automationpractice.com/index.php,6361,0,87
1653928882139,7295,createUser/index.php-4,200,OK,Thread Group - CSV 1-5,text,true,,3637,720,9,9,http://automationpractice.com/index.php,6673,0,80
1653928882089,7825,createUser/index.php-4,200,OK,Thread Group - CSV 1-4,text,true,,3637,720,9,9,http://automationpractice.com/index.php,7138,0,85
1653928888113,6630,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-6,text,true,,51530,1124,9,9,http://automationpractice.com/index.php?controller=authentication,6304,0,0
1653928888923,5888,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-2,text,true,,51510,1124,9,9,http://automationpractice.com/index.php?controller=authentication,5593,0,0
1653928888046,7255,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-7,text,true,,51508,1124,9,9,http://automationpractice.com/index.php?controller=authentication,6662,0,0
1653928888618,7196,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-8,text,true,,51512,1124,9,9,http://automationpractice.com/index.php?controller=authentication,6799,0,0
1653928888122,7991,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-3,text,true,,51506,1124,9,9,http://automationpractice.com/index.php?controller=authentication,7695,0,0
1653928889223,7200,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-9,text,true,,51510,1124,9,9,http://automationpractice.com/index.php?controller=authentication,6882,0,0
1653928889433,7270,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-5,text,true,,51508,1124,9,9,http://automationpractice.com/index.php?controller=authentication,6578,0,0
1653928889913,6988,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-4,text,true,,51518,1124,9,9,http://automationpractice.com/index.php?controller=authentication,6295,0,0
1653928888920,8009,createUser/index.php?controller=authentication-27,200,OK,Thread Group - CSV 1-1,text,true,,51508,1124,9,9,http://automationpractice.com/index.php?controller=authentication,7190,0,0
1653928896703,5796,createUser/index.php-29,508,Loop Detected,Thread Group - CSV 1-5,text,false,,1069,1216,9,9,http://automationpractice.com/index.php?controller=authentication&back=my-account,5713,0,0
1653928896703,5713,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-5,text,true,,577,598,9,9,http://automationpractice.com/index.php?controller=my-account,5713,0,0
1653928902416,83,createUser/index.php-29-1,508,Loop Detected,Thread Group - CSV 1-5,text,false,,492,618,9,9,http://automationpractice.com/index.php?controller=authentication&back=my-account,83,0,0
1653928882139,20361,Transaction Controller csv,,"Number of samples in transaction : 3, number of failing samples : 1",Thread Group - CSV 1-5,,false,,56214,3060,9,9,null,18964,0,80
1653928895301,11111,createUser/index.php-29,200,OK,Thread Group - CSV 1-7,text,true,,36103,1216,8,8,http://automationpractice.com/index.php?controller=authentication&back=my-account,4112,0,0
1653928895301,4112,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-7,text,true,,581,598,8,8,http://automationpractice.com/index.php?controller=my-account,4112,0,0
1653928899413,6999,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-7,text,true,,35522,618,8,8,http://automationpractice.com/index.php?controller=authentication&back=my-account,6598,0,0
1653928882240,24172,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-7,,true,,91240,3060,8,8,null,16278,1,76
1653928894811,12122,createUser/index.php-29,200,OK,Thread Group - CSV 1-2,text,true,,36101,1216,7,7,http://automationpractice.com/index.php?controller=authentication&back=my-account,4395,0,0
1653928894811,4395,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-2,text,true,,581,598,7,7,http://automationpractice.com/index.php?controller=my-account,4395,0,0
1653928899206,7727,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-2,text,true,,35520,618,7,7,http://automationpractice.com/index.php?controller=authentication&back=my-account,7502,0,0
1653928881989,24944,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-2,,true,,91248,3060,7,7,null,16505,1,184
1653928896114,10995,createUser/index.php-29,200,OK,Thread Group - CSV 1-3,text,true,,36081,1216,6,6,http://automationpractice.com/index.php?controller=authentication&back=my-account,4214,0,0
1653928896114,4214,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-3,text,true,,573,598,6,6,http://automationpractice.com/index.php?controller=my-account,4214,0,0
1653928900329,6780,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-3,text,true,,35508,618,6,6,http://automationpractice.com/index.php?controller=authentication&back=my-account,6490,0,0
1653928882039,25069,Transaction Controller csv,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - CSV 1-3,,true,,91216,3060,6,6,null,17689,2,123
1653928896423,10886,createUser/index.php-29,200,OK,Thread Group - CSV 1-9,text,true,,36085,1216,5,5,http://automationpractice.com/index.php?controller=authentication&back=my-account,5390,0,0
1653928896423,5390,createUser/index.php-29-0,302,Moved Temporarily,Thread Group - CSV 1-9,text,true,,573,598,5,5,http://automationpractice.com/index.php?controller=my-account,5390,0,0
1653928901813,5496,createUser/index.php-29-1,200,OK,Thread Group - CSV 1-9,text,true,,35512,618,5,5,http://automationpractice.com/index.php?controller=authentication&back=my-account,5298,0,0
